-81,-58,-86,180.0,0.5,0.0,36.9999504089,-122.0623397827
-81,-66,-69,180.0,1.0,0.0,36.9999465942,-122.0623474121
-77,-65,-72,180.0,1.5,0.0,36.9999465942,-122.0623550415
-84,-68,-76,180.0,2.0,0.0,36.9999427795,-122.0623550415
-83,-65,-74,180.0,2.5,0.0,36.9999427795,-122.0623626709
-81,-61,-79,180.0,3.0,0.0,36.9999389648,-122.0623703003
-87,-62,-76,180.0,3.5,0.0,36.9999389648,-122.0623703003
-84,-68,-81,180.0,4.0,0.0,36.9999351501,-122.0623779297
-83,-66,-82,180.0,4.5,0.0,36.9999313354,-122.0623855591
-85,-69,-81,180.0,5.0,0.0,36.9999313354,-122.0623855591
-84,-76,-76,180.0,5.5,0.0,36.9999275208,-122.0623931885
-85,-74,-86,180.0,6.0,0.0,36.9999275208,-122.0624008179
-86,-67,-83,180.0,6.5,0.0,36.9999237061,-122.0624008179
-85,-63,-74,180.0,7.0,0.0,36.9999237061,-122.0624084473
-88,-65,-75,180.0,7.5,0.0,36.9999198914,-122.0624160767
-88,-63,-76,180.0,8.0,0.0,36.9999198914,-122.0624160767
-86,-66,-77,180.0,8.5,0.0,36.9999160767,-122.0624237061
-83,-71,-73,180.0,9.0,0.0,36.9999160767,-122.0624313354
-84,-70,-69,180.0,9.5,0.0,36.9999122620,-122.0624313354
-88,-72,-69,180.0,10.0,0.0,36.9999122620,-122.0624389648
-67,-63,-79,180.0,0.5,180.0,36.9999504089,-122.0623397827
-75,-57,-70,180.0,1.0,180.0,36.9999465942,-122.0623474121
-82,-64,-74,180.0,1.5,180.0,36.9999465942,-122.0623550415
-76,-64,-79,180.0,2.0,180.0,36.9999427795,-122.0623550415
-78,-67,-73,180.0,2.5,180.0,36.9999427795,-122.0623626709
-77,-65,-73,180.0,3.0,180.0,36.9999389648,-122.0623703003
-81,-71,-70,180.0,3.5,180.0,36.9999389648,-122.0623703003
-78,-69,-68,180.0,4.0,180.0,36.9999351501,-122.0623779297
-77,-83,-72,180.0,4.5,180.0,36.9999313354,-122.0623855591
-89,-74,-70,180.0,5.0,180.0,36.9999313354,-122.0623855591
-81,-62,-70,180.0,5.5,180.0,36.9999275208,-122.0623931885
-86,-71,-73,180.0,6.0,180.0,36.9999275208,-122.0624008179
-78,-70,-74,180.0,6.5,180.0,36.9999237061,-122.0624008179
-88,-75,-73,180.0,7.0,180.0,36.9999237061,-122.0624084473
-94,-75,-75,180.0,7.5,180.0,36.9999198914,-122.0624160767
-86,-70,-73,180.0,8.0,180.0,36.9999198914,-122.0624160767
-84,-70,-71,180.0,8.5,180.0,36.9999160767,-122.0624237061
-87,-70,-79,180.0,9.0,180.0,36.9999160767,-122.0624313354
-85,-79,-70,180.0,9.5,180.0,36.9999122620,-122.0624313354
-81,-70,-74,180.0,10.0,180.0,36.9999122620,-122.0624389648
-69,-69,-82,210.0,0.5,0.0,36.9999465942,-122.0623397827
-74,-62,-80,210.0,1.0,0.0,36.9999427795,-122.0623397827
-78,-73,-74,210.0,1.5,0.0,36.9999389648,-122.0623474121
-86,-75,-76,210.0,2.0,0.0,36.9999351501,-122.0623474121
-80,-73,-79,210.0,2.5,0.0,36.9999313354,-122.0623550415
-82,-67,-76,210.0,3.0,0.0,36.9999275208,-122.0623550415
-77,-65,-72,210.0,3.5,0.0,36.9999237061,-122.0623626709
-80,-71,-75,210.0,4.0,0.0,36.9999198914,-122.0623626709
-77,-68,-80,210.0,4.5,0.0,36.9999160767,-122.0623626709
-76,-65,-83,210.0,0.5,180.0,36.9999465942,-122.0623397827
-73,-74,-81,210.0,1.0,180.0,36.9999427795,-122.0623397827
-69,-60,-70,210.0,1.5,180.0,36.9999389648,-122.0623474121
-70,-59,-74,210.0,2.0,180.0,36.9999351501,-122.0623474121
-69,-70,-71,210.0,2.5,180.0,36.9999313354,-122.0623550415
-73,-67,-80,210.0,3.0,180.0,36.9999275208,-122.0623550415
